,Country,GDP_Capita,Family,Life_Expectancy,Freedom,EducationIndex,Safety_index,Happiness_Score
0,Norway,0.808231592178345,0.766761779785155,0.796666502952576,0.635422587394714,0.9159999999999999,0.8809999999999999,8.2915463747297
1,Denmark,0.741191506385805,0.775560796260835,0.7925655245780941,0.626006722450256,0.9229999999999999,0.938,8.280463642392844
2,Iceland,0.7403165102005,0.80528700351715,0.8335521221160892,0.6271626353263849,0.9059999999999999,0.94,8.360454673085892
3,Switzerland,0.7824897766113299,0.758455872535705,0.858131289482117,0.620070576667786,0.8909999999999999,0.884,8.27735359328134
4,Finland,0.721785962581635,0.7701233625412,0.80915766954422,0.6179508566856379,0.847,0.898,7.734311216218132
5,Netherlands,0.75197231769562,0.714469611644745,0.8106961250305179,0.5853844881057739,0.897,0.84,7.999317917823795
6,Canada,0.73960220813751,0.74067449569702,0.83455765247345,0.611100912094116,0.89,0.884,7.7856218120029945
7,New Zealand,0.70285302400589,0.774097561836245,0.816759705543518,0.6140621304512021,0.917,0.909,8.191103459766934
8,Sweden,0.74719363451004,0.73908108472824,0.830875158309937,0.612924098968506,0.855,0.8320000000000001,7.667248537881032
9,Australia,0.7422074675560001,0.7550209760665899,0.84388679265976,0.601607382297516,0.9390000000000001,0.862,8.205318026542665
10,Israel,0.6876912117004399,0.688144981861115,0.83840399980545,0.405988603830338,0.87,0.479,7.09889828171049
11,Costa Rica,0.55485314130783,0.7082018256187449,0.7595092654228209,0.580131649971008,0.684,0.638,6.678136974743433
12,Austria,0.74354863166809,0.7299724817276,0.8153284192085269,0.567766189575195,0.82,0.905,7.973736745970588
13,Ireland,0.7678533196449301,0.779115557670595,0.8097826242446899,0.5731103420257571,0.91,0.8270000000000001,7.738374062265676
14,Germany,0.743961691856385,0.736260175704955,0.798950731754303,0.562511384487152,0.914,0.848,8.005262834003995
15,Belgium,0.73189038038254,0.7311563491821299,0.8180918693542479,0.5397707223892211,0.841,0.695,7.295584744725913
16,United Kingdom,0.72081696987152,0.7482300400733951,0.805335938930511,0.508190035820007,0.8959999999999999,0.762,7.772247120993476
17,Chile,0.62639230489731,0.64201247692108,0.8194797039031979,0.376895278692245,0.784,0.8009999999999999,6.856828234876905
18,United Arab Emirates,0.8131716847419749,0.633205115795135,0.726798236370087,0.60834527015686,0.687,0.782,7.500743295805796
19,Brazil,0.55367660522461,0.715653002262115,0.6165523529052729,0.437453746795654,0.6809999999999999,0.519,5.747622438839502
20,Czech Republic,0.67634117603302,0.716942608356475,0.754444003105164,0.490946173667908,0.878,0.8740000000000001,7.700962801660812
21,Argentina,0.59264773130417,0.72022557258606,0.695137083530426,0.4945192039012911,0.8079999999999999,0.6970000000000001,6.796470844745639
22,Mexico,0.57659190893173,0.6054310798645,0.709978997707367,0.412730008363724,0.655,0.457,6.309617135524745
23,Singapore,0.84613883495331,0.676907181739805,0.9494923949241642,0.549840569496155,0.8140000000000001,0.903,8.199112830162049
24,Uruguay,0.60877984762192,0.706113934516905,0.719216823577881,0.5793922543525699,0.7170000000000001,0.762,6.917861228670394
25,Guatemala,0.4360009729862215,0.627792596817015,0.540239989757538,0.5313106179237371,0.508,0.517,5.943348824977873
26,Panama,0.61687421798706,0.6865962743759151,0.706156134605408,0.550026834011078,0.691,0.591,6.91664780139923
27,France,0.71546173095703,0.693888425827025,0.8444658517837521,0.470222115516663,0.8390000000000001,0.64,7.0757687486921
28,Thailand,0.56393438577652,0.7128962278366099,0.647239029407501,0.580200731754303,0.6409999999999999,0.491,6.62324339253562
29,Spain,0.69219893217087,0.766045451164245,0.888960599899292,0.408781230449677,0.818,0.828,6.645694590977263
30,Qatar,0.93538284301758,0.637148439884185,0.7100980877876278,0.604130983352661,0.698,0.825,7.728229077202934
31,Colombia,0.53531116247177,0.7010914683341999,0.595027923583984,0.477487415075302,0.63,0.422,5.872739956378937
32,Saudi Arabia,0.765311777591705,0.643338799476625,0.590148329734802,0.449750572443008,0.768,0.46,6.680784970351629
33,Trinidad and Tobago,0.680677950382235,0.69011425971985,0.5199832916259771,0.518630743026733,0.7170000000000001,0.4320000000000001,6.512008921078278
34,Kuwait,0.816476225852965,0.62984937429428,0.6321057081222529,0.496337592601776,0.611,0.654,6.913955572673248
