,Country,Safety_index,Ranking,Happiness_Score
93,Mozambique,0.45299999999999996,113,4.5500001907348615
94,Turkey,0.451,69,5.5
95,Nicaragua,0.45,43,6.07100009918213
96,Benin,0.445,143,3.65700006484985
97,Senegal,0.444,115,4.53499984741211
98,Liberia,0.439,148,3.532999992370609
99,Kenya,0.439,112,4.55299997329712
100,Ethiopia,0.43799999999999994,119,4.46000003814697
101,Gabon,0.43700000000000006,118,4.46500015258789
102,Paraguay,0.436,70,5.493000030517581
103,Kosovo,0.433,78,5.27899980545044
104,Trinidad and Tobago,0.43200000000000005,38,6.1680002212524405
105,Colombia,0.42200000000000004,36,6.35699987411499
106,Algeria,0.42,53,5.8720002174377415
107,Haiti,0.414,145,3.6029999256134
108,Burkina Faso,0.406,134,4.03200006484985
109,Turkmenistan,0.40399999999999997,59,5.82200002670288
110,Angola,0.4,140,3.79500007629395
111,Uganda,0.39899999999999997,133,4.08099985122681
112,Uzbekistan,0.389,47,5.97100019454956
113,Guinea,0.387,149,3.50699996948242
114,Myanmar,0.38,114,4.54500007629395
115,Tajikistan,0.371,96,5.04099988937378
116,Egypt,0.368,104,4.7350001335144
117,Ivory Coast,0.368,128,4.17999982833862
118,Niger,0.366,135,4.02799987792969
119,Rwanda,0.364,151,3.47099995613098
120,Cameroon,0.35100000000000003,107,4.69500017166138
121,Mauritania,0.35,123,4.29199981689453
122,Lebanon,0.345,88,5.22499990463257
123,Russia,0.33399999999999996,49,5.962999820709231
124,Venezuela,0.327,82,5.25
125,Nigeria,0.319,95,5.07399988174438
126,Ukraine,0.307,132,4.09600019454956
127,Mali,0.305,127,4.19000005722046
128,Burundi,0.3,154,2.90499997138977
129,Pakistan,0.258,80,5.26900005340576
130,Libya,0.2,68,5.525000095367429
131,Somalia,0.16399999999999998,93,5.151000022888179
132,Iraq,0.142,117,4.49700021743774
133,Sudan,0.129,130,4.138999938964839
134,Central African Republic,0.10400000000000001,155,2.69300007820129
135,Yemen,0.09300000000000001,146,3.59299993515015
136,South Sudan,0.09300000000000001,147,3.5910000801086404
137,Afghanistan,0.062,141,3.79399991035461
