,Country,Happiness_Score
2,Iceland,8.360454673085892
0,Norway,8.2915463747297
1,Denmark,8.280463642392844
3,Switzerland,8.27735359328134
9,Australia,8.205318026542665
23,Singapore,8.199112830162049
7,New Zealand,8.191103459766934
14,Germany,8.005262834003995
5,Netherlands,7.999317917823795
12,Austria,7.973736745970588
44,Japan,7.8424684579031805
6,Canada,7.7856218120029945
16,United Kingdom,7.772247120993476
13,Ireland,7.738374062265676
4,Finland,7.734311216218132
